ROI,T1w:T2w
7Networks_LH_Vis_1,1.2950499057769775
7Networks_LH_Vis_2,1.4394173622131348
7Networks_LH_Vis_3,1.437411904335022
7Networks_LH_Vis_4,1.4923292398452759
7Networks_LH_Vis_5,1.5291601419448853
7Networks_LH_Vis_6,1.5302870273590088
7Networks_LH_Vis_7,1.3972909450531004
7Networks_LH_Vis_8,1.4300981760025024
7Networks_LH_Vis_9,1.4869213104248047
7Networks_LH_SomMot_1,1.4796221256256104
7Networks_LH_SomMot_2,1.41434645652771
7Networks_LH_SomMot_3,1.302557110786438
7Networks_LH_SomMot_4,1.5054490566253662
7Networks_LH_SomMot_5,1.5731269121170044
7Networks_LH_SomMot_6,1.4716155529022217
7Networks_LH_DorsAttn_Post_1,1.287638783454895
7Networks_LH_DorsAttn_Post_2,1.290952444076538
7Networks_LH_DorsAttn_Post_3,1.3604390621185303
7Networks_LH_DorsAttn_Post_4,1.3685252666473389
7Networks_LH_DorsAttn_Post_5,1.2646573781967163
7Networks_LH_DorsAttn_Post_6,1.2981097698211668
7Networks_LH_DorsAttn_PrCv_1,1.3023754358291624
7Networks_LH_DorsAttn_FEF_1,1.3209221363067627
7Networks_LH_SalVentAttn_ParOper_1,1.247917890548706
7Networks_LH_SalVentAttn_FrOperIns_1,1.1702793836593628
7Networks_LH_SalVentAttn_FrOperIns_2,1.2107009887695312
7Networks_LH_SalVentAttn_PFCl_1,1.2101581096649168
7Networks_LH_SalVentAttn_Med_1,1.1893160343170166
7Networks_LH_SalVentAttn_Med_2,1.2667163610458374
7Networks_LH_SalVentAttn_Med_3,1.2668869495391843
7Networks_LH_Limbic_OFC_1,1.2106002569198608
7Networks_LH_Limbic_TempPole_1,1.1390950679779053
7Networks_LH_Limbic_TempPole_2,1.2206785678863523
7Networks_LH_Cont_Par_1,1.33107590675354
7Networks_LH_Cont_PFCl_1,1.283893585205078
7Networks_LH_Cont_pCun_1,1.3832206726074219
7Networks_LH_Cont_Cing_1,1.4705216884613037
7Networks_LH_Default_Temp_1,1.2095351219177246
7Networks_LH_Default_Temp_2,1.3005142211914062
7Networks_LH_Default_Par_1,1.3253594636917114
7Networks_LH_Default_Par_2,1.259390354156494
7Networks_LH_Default_PFC_1,1.209639549255371
7Networks_LH_Default_PFC_2,1.256476640701294
7Networks_LH_Default_PFC_3,1.1692893505096436
7Networks_LH_Default_PFC_4,1.2105367183685303
7Networks_LH_Default_PFC_5,1.1833175420761108
7Networks_LH_Default_PFC_6,1.2822840213775635
7Networks_LH_Default_PFC_7,1.251077890396118
7Networks_LH_Default_pCunPCC_1,1.43924880027771
7Networks_LH_Default_pCunPCC_2,1.3508447408676147
7Networks_RH_Vis_1,1.2954295873641968
7Networks_RH_Vis_2,1.435692310333252
7Networks_RH_Vis_3,1.3439610004425049
7Networks_RH_Vis_4,1.488763451576233
7Networks_RH_Vis_5,1.554404616355896
7Networks_RH_Vis_6,1.5161671638488767
7Networks_RH_Vis_7,1.4339563846588135
7Networks_RH_Vis_8,1.4730323553085327
7Networks_RH_SomMot_1,1.4673638343811035
7Networks_RH_SomMot_2,1.3916531801223755
7Networks_RH_SomMot_3,1.2756850719451904
7Networks_RH_SomMot_4,1.477344989776611
7Networks_RH_SomMot_5,1.570974588394165
7Networks_RH_SomMot_6,1.5884029865264893
7Networks_RH_SomMot_7,1.3950076103210447
7Networks_RH_SomMot_8,1.504897117614746
7Networks_RH_DorsAttn_Post_1,1.3258570432662964
7Networks_RH_DorsAttn_Post_2,1.3169984817504883
7Networks_RH_DorsAttn_Post_3,1.3498293161392212
7Networks_RH_DorsAttn_Post_4,1.3585450649261475
7Networks_RH_DorsAttn_Post_5,1.2595748901367188
7Networks_RH_DorsAttn_PrCv_1,1.2954051494598389
7Networks_RH_DorsAttn_FEF_1,1.3209292888641355
7Networks_RH_SalVentAttn_TempOccPar_1,1.3338044881820679
7Networks_RH_SalVentAttn_TempOccPar_2,1.2798411846160889
7Networks_RH_SalVentAttn_FrOperIns_1,1.2060749530792236
7Networks_RH_SalVentAttn_Med_1,1.2848068475723267
7Networks_RH_SalVentAttn_Med_2,1.242067813873291
7Networks_RH_Limbic_OFC_1,1.2070651054382324
7Networks_RH_Limbic_TempPole_1,1.141176700592041
7Networks_RH_Cont_Par_1,1.2419664859771729
7Networks_RH_Cont_Par_2,1.2920347452163696
7Networks_RH_Cont_PFCl_1,1.2057852745056152
7Networks_RH_Cont_PFCl_2,1.2596650123596191
7Networks_RH_Cont_PFCl_3,1.204301834106445
7Networks_RH_Cont_PFCl_4,1.2835142612457275
7Networks_RH_Cont_Cing_1,1.4699403047561643
7Networks_RH_Cont_PFCmp_1,1.183544635772705
7Networks_RH_Cont_pCun_1,1.3407093286514282
7Networks_RH_Default_Par_1,1.2757216691970823
7Networks_RH_Default_Temp_1,1.1964688301086424
7Networks_RH_Default_Temp_2,1.1506100893020628
7Networks_RH_Default_Temp_3,1.3164598941802979
7Networks_RH_Default_PFCv_1,1.2724225521087646
7Networks_RH_Default_PFCv_2,1.255181908607483
7Networks_RH_Default_PFCdPFCm_1,1.1693191528320312
7Networks_RH_Default_PFCdPFCm_2,1.1813395023345947
7Networks_RH_Default_PFCdPFCm_3,1.2363245487213135
7Networks_RH_Default_pCunPCC_1,1.4550724029541016
7Networks_RH_Default_pCunPCC_2,1.3656443357467651
