,Hierarchy_val
0,0.6415524264417694
1,0.1624469711351937
2,0.16712126693091767
3,0.0672943235597349
4,0.02921177258796059
5,0.028339012984581177
6,0.2769213352586567
7,0.1848441168060125
8,0.07465175107290639
9,0.08538655790092263
10,0.22656161770811817
11,0.6144715777546063
12,0.051439436869675045
13,0.004838441592482256
14,0.09826542874537512
15,0.6677808672808857
16,0.6561223093824252
17,0.4009469748725331
18,0.37228761959972206
19,0.7448806945303121
20,0.630570733322609
21,0.6151321821401344
22,0.5467468913420377
23,0.7959786317303946
24,0.9635574386256651
25,0.8909809661837796
26,0.8921652083052051
27,0.9332420044982053
28,0.7382771787999766
29,0.7377271468174263
30,0.8912011673756268
31,1.0
32,0.8681718202659399
33,0.5088885195639689
34,0.6808121136166441
35,0.3221164913066864
36,0.10011701376158853
37,0.8935169744348317
38,0.6218858621037316
39,0.5302110469021918
40,0.7614668340340616
41,0.8932909245334731
42,0.7704466680032627
43,0.9649561762406413
44,0.891339936966249
45,0.9435124381411096
46,0.6863621484123805
47,0.7867019355336504
48,0.16283678375740537
49,0.43569838458328863
50,0.6401942832032526
51,0.1711929264689413
52,0.46100916019421073
53,0.07208960158671396
54,0.013020515473768934
55,0.040436214267304274
56,0.17536278593033464
57,0.0959004514452234
58,0.10558854640072156
59,0.29466176769188435
60,0.7087757732972922
61,0.08893000742163072
62,0.0056420714681647026
63,0.0
64,0.28404439966052913
65,0.05205192698093871
66,0.5283553375059348
67,0.5613350479446956
68,0.43941502257253107
69,0.40774919158346157
70,0.7608933462565866
71,0.6402817353612976
72,0.546720263313888
73,0.4987171482628285
74,0.6947246834013837
75,0.9008845689314537
76,0.677649321315055
77,0.812674054450009
78,0.898800525531742
79,0.9980236435077181
80,0.8129576547499227
81,0.6522897559651708
82,0.9014906104523532
83,0.7606130512459447
84,0.9045681089365026
85,0.6821228815612043
86,0.10111023914597582
87,0.9431358867035221
88,0.47304513327114556
89,0.7086530469952191
90,0.9201002326491234
91,0.9882927690921635
92,0.563334045065967
93,0.7196416946410792
94,0.7743909109617896
95,0.9649143082486602
96,0.9467518853985953
97,0.828443822350214
98,0.12870601884570795
99,0.382422904984991
