,T1w:T2w
0,1.295049905776977539
1,1.439417362213134766
2,1.437411904335021973
3,1.492329239845275879
4,1.529160141944885254
5,1.530287027359008789
6,1.397290945053100586
7,1.430098176002502441
8,1.486921310424804688
9,1.479622125625610352
10,1.414346456527709961
11,1.302557110786437988
12,1.505449056625366211
13,1.573126912117004395
14,1.471615552902221680
15,1.287638783454895020
16,1.290952444076538086
17,1.360439062118530273
18,1.368525266647338867
19,1.264657378196716309
20,1.298109769821166992
21,1.302375435829162598
22,1.320922136306762695
23,1.247917890548706055
24,1.170279383659362793
25,1.210700988769531250
26,1.210158109664916992
27,1.189316034317016602
28,1.266716361045837402
29,1.266886949539184570
30,1.210600256919860840
31,1.139095067977905273
32,1.220678567886352539
33,1.331075906753540039
34,1.283893585205078125
35,1.383220672607421875
36,1.470521688461303711
37,1.209535121917724609
38,1.300514221191406250
39,1.325359463691711426
40,1.259390354156494141
41,1.209639549255371094
42,1.256476640701293945
43,1.169289350509643555
44,1.210536718368530273
45,1.183317542076110840
46,1.282284021377563477
47,1.251077890396118164
48,1.439248800277709961
49,1.350844740867614746
50,1.295429587364196777
51,1.435692310333251953
52,1.343961000442504883
53,1.488763451576232910
54,1.554404616355895996
55,1.516167163848876953
56,1.433956384658813477
57,1.473032355308532715
58,1.467363834381103516
59,1.391653180122375488
60,1.275685071945190430
61,1.477344989776611328
62,1.570974588394165039
63,1.588402986526489258
64,1.395007610321044922
65,1.504897117614746094
66,1.325857043266296387
67,1.316998481750488281
68,1.349829316139221191
69,1.358545064926147461
70,1.259574890136718750
71,1.295405149459838867
72,1.320929288864135742
73,1.333804488182067871
74,1.279841184616088867
75,1.206074953079223633
76,1.284806847572326660
77,1.242067813873291016
78,1.207065105438232422
79,1.141176700592041016
80,1.241966485977172852
81,1.292034745216369629
82,1.205785274505615234
83,1.259665012359619141
84,1.204301834106445312
85,1.283514261245727539
86,1.469940304756164551
87,1.183544635772705078
88,1.340709328651428223
89,1.275721669197082520
90,1.196468830108642578
91,1.150610089302062988
92,1.316459894180297852
93,1.272422552108764648
94,1.255181908607482910
95,1.169319152832031250
96,1.181339502334594727
97,1.236324548721313477
98,1.455072402954101562
99,1.365644335746765137
