Receptor,System,Global_VIF,Within_System_VIF,Cross_System_VIF
5HT1a,Serotonin,9.330907136735865,2.561394520536266,8.500608215203165
5HT1b,Serotonin,7.7335562638206135,2.7490012591459148,4.622369878758546
5HT2a,Serotonin,12.528280048949485,5.6355991025157435,4.9925446151436805
5HT4,Serotonin,29.219109793014145,5.793992581632255,10.795489661282588
5HT6,Serotonin,9.950905031007055,1.951585398269616,8.359592014307859
A4B2,Acetylcholine,5.460060855820094,1.2015385986817921,5.1134631318474915
M1,Acetylcholine,7.52765935177897,1.0048253537038936,6.424158866713709
D1,Dopamine,12.408959897369833,3.097869644564069,10.541684317909402
D2,Dopamine,20.060774579359162,1.4695704699928263,14.081022604342737
mGluR5,Glutamate,21.121587959578243,1.2633732673745657,20.901181328684064
NMDA,Glutamate,7.967695338866843,1.263373267374566,7.884551358925962
CB1,Cannabinoid,8.32597492380501,1.0,8.32597492380501
GABAa,GABA,8.72814232462691,1.0,8.72814232462691
H3,Histamine,7.641943812327614,1.0,7.641943812327614
MOR,Opioid,17.632781526289254,1.0,17.632781526289254
5HTT,Serotonin,9.573312438830525,1.456658312068132,7.908516695164174
DAT,Dopamine,14.20654592334351,3.556674944754927,9.416766238274235
VAChT,Acetylcholine,16.941527318422533,1.198881754890695,14.083700562123408
NET,Noradrenaline,7.703499653941758,1.0,7.703499653941758
